縣市,統計期,業者名稱,基地臺
15,1120531,3,368
15,1120430,3,368
15,1120331,3,368
15,1120228,3,368
15,1120131,3,368
15,1111231,3,368
15,1111130,3,368
15,1111031,3,368
15,1110930,3,368
15,1110831,3,368
15,1110731,3,368
15,1110630,3,368
15,1110531,3,368
15,1110430,3,368
15,1110331,3,368
15,1110228,3,368
15,1110131,3,368
15,1101231,3,364
15,1101130,3,364
15,1101031,3,364
15,1100930,3,359
15,1100831,3,359
15,1100731,3,359
15,1100630,3,359
15,1100531,3,359
15,1100430,3,359
15,1100331,3,358
15,1100228,3,358
15,1100131,3,356
15,1091231,3,358
15,1091130,3,358
15,1091031,3,358
15,1090930,3,358
15,1090831,3,358
15,1090731,3,358
15,1090630,3,358
15,1090531,3,354
15,1090430,3,354
15,1090331,3,352
15,1090229,3,346
15,1090131,3,346
15,1081231,3,346
15,1081130,3,341
15,1081031,3,341
15,1080930,3,339
15,1080831,3,333
15,1080731,3,333
15,1080630,3,333
15,1080531,3,322
15,1080430,3,322
15,1080331,3,320
15,1080228,3,314
15,1080131,3,314
