縣市,統計期,業者名稱,基地臺
17,1120531,1,990
18,1120531,1,978
21,1120531,1,320
13,1120531,1,1267
16,1120531,1,1181
11,1120531,1,1401
3,1120531,1,2154
6,1120531,1,3409
7,1120531,1,386
22,1120531,1,106
14,1120531,1,1327
2,1120531,1,3131
8,1120531,1,631
10,1120531,1,1075
9,1120531,1,346
15,1120531,1,1034
12,1120531,1,1892
4,1120531,1,4921
1,1120531,1,3068
19,1120531,1,662
5,1120531,1,2255
20,1120531,1,198
17,1120430,1,989
18,1120430,1,974
21,1120430,1,304
13,1120430,1,1246
16,1120430,1,1166
11,1120430,1,1365
3,1120430,1,2154
6,1120430,1,3378
7,1120430,1,386
22,1120430,1,106
14,1120430,1,1301
2,1120430,1,3126
8,1120430,1,631
10,1120430,1,1075
9,1120430,1,345
15,1120430,1,1024
12,1120430,1,1863
4,1120430,1,4859
1,1120430,1,3040
19,1120430,1,656
5,1120430,1,2219
20,1120430,1,196
17,1120331,1,988
18,1120331,1,972
21,1120331,1,301
13,1120331,1,1213
16,1120331,1,1165
11,1120331,1,1337
3,1120331,1,2149
6,1120331,1,3369
7,1120331,1,386
22,1120331,1,106
14,1120331,1,1285
2,1120331,1,3114
8,1120331,1,631
10,1120331,1,1075
9,1120331,1,345
15,1120331,1,1019
12,1120331,1,1840
4,1120331,1,4837
1,1120331,1,3034
19,1120331,1,656
5,1120331,1,2202
20,1120331,1,196
17,1120228,1,973
18,1120228,1,962
21,1120228,1,288
13,1120228,1,1238
16,1120228,1,1144
11,1120228,1,1355
3,1120228,1,2140
6,1120228,1,3333
7,1120228,1,381
22,1120228,1,105
14,1120228,1,1293
2,1120228,1,3088
8,1120228,1,631
10,1120228,1,1063
9,1120228,1,344
15,1120228,1,1010
12,1120228,1,1854
4,1120228,1,4854
1,1120228,1,3033
19,1120228,1,653
5,1120228,1,2178
20,1120228,1,196
17,1120131,1,990
18,1120131,1,964
21,1120131,1,287
13,1120131,1,1238
16,1120131,1,1134
11,1120131,1,1355
3,1120131,1,2140
6,1120131,1,3304
7,1120131,1,383
22,1120131,1,104
14,1120131,1,1294
2,1120131,1,3109
8,1120131,1,631
10,1120131,1,1063
9,1120131,1,344
15,1120131,1,1001
12,1120131,1,1854
4,1120131,1,4854
1,1120131,1,3022
19,1120131,1,649
5,1120131,1,2172
20,1120131,1,196
17,1111231,1,987
18,1111231,1,962
21,1111231,1,282
13,1111231,1,1236
16,1111231,1,1124
11,1111231,1,1355
3,1111231,1,2128
6,1111231,1,3290
7,1111231,1,383
22,1111231,1,104
14,1111231,1,1294
2,1111231,1,3097
8,1111231,1,631
10,1111231,1,1063
9,1111231,1,343
15,1111231,1,998
12,1111231,1,1854
4,1111231,1,4853
1,1111231,1,3020
19,1111231,1,649
5,1111231,1,2162
20,1111231,1,196
17,1111130,1,981
18,1111130,1,955
21,1111130,1,281
13,1111130,1,1231
16,1111130,1,1125
11,1111130,1,1356
3,1111130,1,2125
6,1111130,1,3271
7,1111130,1,375
22,1111130,1,100
14,1111130,1,1294
2,1111130,1,3063
8,1111130,1,631
10,1111130,1,1063
9,1111130,1,343
15,1111130,1,998
12,1111130,1,1854
4,1111130,1,4863
1,1111130,1,3015
19,1111130,1,651
5,1111130,1,2165
20,1111130,1,196
17,1111031,1,981
18,1111031,1,955
21,1111031,1,281
13,1111031,1,1230
16,1111031,1,1127
11,1111031,1,1356
3,1111031,1,2123
6,1111031,1,3268
7,1111031,1,375
22,1111031,1,97
14,1111031,1,1294
2,1111031,1,3053
8,1111031,1,628
10,1111031,1,1056
9,1111031,1,343
15,1111031,1,998
12,1111031,1,1854
4,1111031,1,4863
1,1111031,1,3015
19,1111031,1,652
5,1111031,1,2165
20,1111031,1,196
17,1110930,1,981
18,1110930,1,955
21,1110930,1,281
13,1110930,1,1231
16,1110930,1,1127
11,1110930,1,1355
3,1110930,1,2121
6,1110930,1,3269
7,1110930,1,375
22,1110930,1,97
14,1110930,1,1292
2,1110930,1,3053
8,1110930,1,628
10,1110930,1,1056
9,1110930,1,343
15,1110930,1,999
12,1110930,1,1851
4,1110930,1,4865
1,1110930,1,3015
19,1110930,1,652
5,1110930,1,2166
20,1110930,1,196
17,1110831,1,964
18,1110831,1,945
21,1110831,1,274
13,1110831,1,1231
16,1110831,1,1109
11,1110831,1,1355
3,1110831,1,2083
6,1110831,1,3233
7,1110831,1,369
22,1110831,1,96
14,1110831,1,1292
2,1110831,1,3014
8,1110831,1,615
10,1110831,1,1027
9,1110831,1,342
15,1110831,1,989
12,1110831,1,1854
4,1110831,1,4864
1,1110831,1,3000
19,1110831,1,651
5,1110831,1,2151
20,1110831,1,194
17,1110731,1,957
18,1110731,1,940
21,1110731,1,272
13,1110731,1,1229
16,1110731,1,1102
11,1110731,1,1353
3,1110731,1,2056
6,1110731,1,3218
7,1110731,1,368
22,1110731,1,93
14,1110731,1,1292
2,1110731,1,2995
8,1110731,1,615
10,1110731,1,1027
9,1110731,1,342
15,1110731,1,986
12,1110731,1,1854
4,1110731,1,4856
1,1110731,1,2968
19,1110731,1,648
5,1110731,1,2139
20,1110731,1,194
17,1110630,1,954
18,1110630,1,935
21,1110630,1,265
13,1110630,1,1218
16,1110630,1,1092
11,1110630,1,1346
3,1110630,1,2058
6,1110630,1,3156
7,1110630,1,361
22,1110630,1,93
14,1110630,1,1289
2,1110630,1,2897
8,1110630,1,615
10,1110630,1,1027
9,1110630,1,341
15,1110630,1,978
12,1110630,1,1846
4,1110630,1,4838
1,1110630,1,2936
19,1110630,1,645
5,1110630,1,2099
20,1110630,1,194
17,1110531,1,954
18,1110531,1,935
21,1110531,1,265
13,1110531,1,1209
16,1110531,1,1098
11,1110531,1,1333
3,1110531,1,2058
6,1110531,1,3157
7,1110531,1,361
22,1110531,1,93
14,1110531,1,1278
2,1110531,1,2897
8,1110531,1,612
10,1110531,1,1011
9,1110531,1,341
15,1110531,1,979
12,1110531,1,1833
4,1110531,1,4807
1,1110531,1,2936
19,1110531,1,646
5,1110531,1,2107
20,1110531,1,194
17,1110430,1,954
18,1110430,1,931
21,1110430,1,261
13,1110430,1,1210
16,1110430,1,1085
11,1110430,1,1333
3,1110430,1,2053
6,1110430,1,3113
7,1110430,1,361
22,1110430,1,93
14,1110430,1,1278
2,1110430,1,2883
8,1110430,1,612
10,1110430,1,1011
9,1110430,1,337
15,1110430,1,974
12,1110430,1,1835
4,1110430,1,4817
1,1110430,1,2913
19,1110430,1,642
5,1110430,1,2094
20,1110430,1,192
17,1110331,1,954
18,1110331,1,935
21,1110331,1,257
13,1110331,1,1204
16,1110331,1,1072
11,1110331,1,1319
3,1110331,1,2058
6,1110331,1,3055
7,1110331,1,361
22,1110331,1,93
14,1110331,1,1275
2,1110331,1,2897
8,1110331,1,612
10,1110331,1,1011
9,1110331,1,337
15,1110331,1,968
12,1110331,1,1827
4,1110331,1,4812
1,1110331,1,2932
19,1110331,1,637
5,1110331,1,2083
20,1110331,1,191
17,1110228,1,954
18,1110228,1,935
21,1110228,1,257
13,1110228,1,1193
16,1110228,1,1067
11,1110228,1,1304
3,1110228,1,2058
6,1110228,1,3037
7,1110228,1,361
22,1110228,1,93
14,1110228,1,1268
2,1110228,1,2897
8,1110228,1,612
10,1110228,1,1011
9,1110228,1,337
15,1110228,1,968
12,1110228,1,1813
4,1110228,1,4797
1,1110228,1,2932
19,1110228,1,636
5,1110228,1,2082
20,1110228,1,191
17,1110131,1,954
18,1110131,1,935
21,1110131,1,257
13,1110131,1,1193
16,1110131,1,1067
11,1110131,1,1304
3,1110131,1,2058
6,1110131,1,3024
7,1110131,1,361
22,1110131,1,93
14,1110131,1,1268
2,1110131,1,2897
8,1110131,1,612
10,1110131,1,1011
9,1110131,1,337
15,1110131,1,968
12,1110131,1,1811
4,1110131,1,4797
1,1110131,1,2932
19,1110131,1,636
5,1110131,1,2082
20,1110131,1,191
17,1101231,1,954
18,1101231,1,935
21,1101231,1,257
13,1101231,1,1193
16,1101231,1,1067
11,1101231,1,1305
3,1101231,1,2057
6,1101231,1,3021
7,1101231,1,358
22,1101231,1,92
14,1101231,1,1268
2,1101231,1,2896
8,1101231,1,612
10,1101231,1,1011
9,1101231,1,338
15,1101231,1,969
12,1101231,1,1812
4,1101231,1,4800
1,1101231,1,2888
19,1101231,1,636
5,1101231,1,2082
20,1101231,1,191
17,1101130,1,954
18,1101130,1,935
21,1101130,1,257
13,1101130,1,1193
16,1101130,1,1066
11,1101130,1,1305
3,1101130,1,2057
6,1101130,1,3015
7,1101130,1,360
22,1101130,1,92
14,1101130,1,1268
2,1101130,1,2896
8,1101130,1,612
10,1101130,1,1011
9,1101130,1,338
15,1101130,1,969
12,1101130,1,1812
4,1101130,1,4800
1,1101130,1,2888
19,1101130,1,632
5,1101130,1,2083
20,1101130,1,191
17,1101031,1,954
18,1101031,1,935
21,1101031,1,255
13,1101031,1,1193
16,1101031,1,1068
11,1101031,1,1306
3,1101031,1,2057
6,1101031,1,3014
7,1101031,1,360
22,1101031,1,92
14,1101031,1,1270
2,1101031,1,2896
8,1101031,1,612
10,1101031,1,1011
9,1101031,1,338
15,1101031,1,970
12,1101031,1,1812
4,1101031,1,4805
1,1101031,1,2888
19,1101031,1,632
5,1101031,1,2083
20,1101031,1,191
17,1100930,1,954
18,1100930,1,933
21,1100930,1,252
13,1100930,1,1197
16,1100930,1,1056
11,1100930,1,1306
3,1100930,1,2056
6,1100930,1,2990
7,1100930,1,349
22,1100930,1,92
14,1100930,1,1275
2,1100930,1,2891
8,1100930,1,612
10,1100930,1,1009
9,1100930,1,333
15,1100930,1,958
12,1100930,1,1813
4,1100930,1,4813
1,1100930,1,2707
19,1100930,1,624
5,1100930,1,2062
20,1100930,1,191
17,1100831,1,954
18,1100831,1,933
21,1100831,1,252
13,1100831,1,1194
16,1100831,1,1056
11,1100831,1,1302
3,1100831,1,2056
6,1100831,1,2987
7,1100831,1,349
22,1100831,1,92
