縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
21,1120531,2,124,124
21,1120430,2,124,126
21,1120331,2,126,127
21,1120228,2,127,128
21,1120131,2,128,132
21,1111231,2,132,132
21,1111130,2,132,130
21,1111031,2,130,134
21,1110930,2,134,134
21,1110831,2,134,130
21,1110731,2,130,130
21,1110630,2,130,130
21,1110531,2,130,130
21,1110430,2,130,130
21,1110331,2,130,122
21,1110228,2,122,122
21,1110131,2,122,124
21,1101231,2,124,124
21,1101130,2,124,126
21,1101031,2,126,126
21,1100930,2,126,126
21,1100831,2,126,126
21,1100731,2,126,126
21,1100630,2,126,124
21,1100531,2,124,124
21,1100430,2,124,124
21,1100331,2,124,126
21,1100228,2,126,126
21,1100131,2,126,126
21,1091231,2,126,126
21,1091130,2,126,123
21,1091031,2,123,123
21,1090930,2,123,123
21,1090831,2,123,123
21,1090731,2,123,123
21,1090630,2,123,123
21,1090531,2,123,123
21,1090430,2,123,123
21,1090331,2,123,123
21,1090229,2,123,122
21,1090131,2,122,122
21,1081231,2,122,122
21,1081130,2,122,122
21,1081031,2,122,117
21,1080930,2,117,117
21,1080831,2,117,114
21,1080731,2,114,113
21,1080630,2,113,113
21,1080531,2,113,110
21,1080430,2,110,110
21,1080331,2,110,107
21,1080228,2,107,106
21,1080131,2,106,102
