縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
1,1120531,5,3000,3000
1,1120430,5,3000,2993
1,1120331,5,2993,2991
1,1120228,5,2991,2962
1,1120131,5,2962,2962
1,1111231,5,2962,2962
1,1111130,5,2962,2951
1,1111031,5,2951,2891
1,1110930,5,2891,2929
1,1110831,5,2929,2929
1,1110731,5,2929,2907
1,1110630,5,2907,2907
1,1110531,5,2907,2874
1,1110430,5,2874,2880
1,1110331,5,2880,2880
1,1110228,5,2880,2880
1,1110131,5,2880,2880
1,1101231,5,2880,2880
1,1101130,5,2880,2880
1,1101031,5,2880,2880
1,1100930,5,2880,2855
1,1100831,5,2855,2855
1,1100731,5,2855,2855
1,1100630,5,2855,2855
1,1100531,5,2855,2855
1,1100430,5,2855,2855
1,1100331,5,2855,2857
1,1100228,5,2857,2857
1,1100131,5,2857,2857
1,1091231,5,2857,2857
1,1091130,5,2857,2839
1,1091031,5,2839,2839
1,1090930,5,2839,3049
1,1090831,5,3049,3049
1,1090731,5,3049,2922
1,1090630,5,2922,2923
1,1090531,5,2923,2824
1,1090430,5,2824,2824
1,1090331,5,2824,2796
1,1090229,5,2796,2796
1,1090131,5,2796,2797
1,1081231,5,2797,2793
1,1081130,5,2793,2743
1,1081031,5,2743,2713
1,1080930,5,2713,2683
1,1080831,5,2683,2683
1,1080731,5,2683,2642
1,1080630,5,2642,2624
1,1080531,5,2624,2602
1,1080430,5,2602,2574
1,1080331,5,2574,2574
1,1080228,5,2574,2574
1,1080131,5,2574,2574
