縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
7,1120531,2,300,300
7,1120430,2,300,295
7,1120331,2,295,295
7,1120228,2,295,295
7,1120131,2,295,295
7,1111231,2,295,295
7,1111130,2,295,292
7,1111031,2,292,288
7,1110930,2,288,285
7,1110831,2,285,279
7,1110731,2,279,281
7,1110630,2,281,281
7,1110531,2,281,281
7,1110430,2,281,281
7,1110331,2,281,281
7,1110228,2,281,275
7,1110131,2,275,275
7,1101231,2,275,275
7,1101130,2,275,275
7,1101031,2,275,275
7,1100930,2,275,277
7,1100831,2,277,277
7,1100731,2,277,277
7,1100630,2,277,277
7,1100531,2,277,277
7,1100430,2,277,272
7,1100331,2,272,272
7,1100228,2,272,272
7,1100131,2,272,272
7,1091231,2,272,272
7,1091130,2,272,270
7,1091031,2,270,270
7,1090930,2,270,270
7,1090831,2,270,267
7,1090731,2,267,263
7,1090630,2,263,263
7,1090531,2,263,263
7,1090430,2,263,263
7,1090331,2,263,263
7,1090229,2,263,262
7,1090131,2,262,262
7,1081231,2,262,262
7,1081130,2,262,257
7,1081031,2,257,257
7,1080930,2,257,257
7,1080831,2,257,257
7,1080731,2,257,255
7,1080630,2,255,252
7,1080531,2,252,252
7,1080430,2,252,252
7,1080331,2,252,254
7,1080228,2,254,254
7,1080131,2,254,254
