縣市,統計期,業者名稱,基地臺
11,1120531,3,498
11,1120430,3,498
11,1120331,3,498
11,1120228,3,498
11,1120131,3,498
11,1111231,3,498
11,1111130,3,498
11,1111031,3,498
11,1110930,3,498
11,1110831,3,498
11,1110731,3,498
11,1110630,3,498
11,1110531,3,498
11,1110430,3,498
11,1110331,3,495
11,1110228,3,495
11,1110131,3,495
11,1101231,3,493
11,1101130,3,489
11,1101031,3,489
11,1100930,3,489
11,1100831,3,489
11,1100731,3,489
11,1100630,3,489
11,1100531,3,487
11,1100430,3,487
11,1100331,3,487
11,1100228,3,487
11,1100131,3,487
11,1091231,3,479
11,1091130,3,456
11,1091031,3,456
11,1090930,3,475
11,1090831,3,475
11,1090731,3,475
11,1090630,3,475
11,1090531,3,470
11,1090430,3,470
11,1090331,3,470
11,1090229,3,464
11,1090131,3,464
11,1081231,3,464
11,1081130,3,459
11,1081031,3,459
11,1080930,3,451
11,1080831,3,451
11,1080731,3,451
11,1080630,3,451
11,1080531,3,451
11,1080430,3,439
11,1080331,3,439
11,1080228,3,439
11,1080131,3,439
